policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
ctx+LLM先验(错误,偏难),45,0.243930,35,250.888889,4.529764,2.497453
ctx+LLM先验(错误,偏难),46,0.237345,33,253.555556,4.506607,2.507652
ctx+LLM先验(错误,偏难),47,0.229089,33,252.888889,4.722472,2.299794
ctx+LLM先验(错误,偏难),48,0.237839,33,252.888889,4.549323,2.464686
ctx+LLM先验(错误,偏难),49,0.230595,29,252.666667,4.627278,2.378758
ctx+LLM先验(错误,偏难),50,0.242663,35,252.222222,4.622920,2.385751
ctx+LLM先验(错误,偏难),51,0.249256,36,250.000000,4.440526,2.561484
ctx+LLM先验(错误,偏难),52,0.236985,31,252.444444,4.409684,2.600963
ctx+LLM先验(错误,偏难),53,0.242840,33,253.555556,4.466646,2.539275
ctx+LLM先验(错误,偏难),54,0.232190,30,254.444444,4.798686,2.224756
ctx+LLM先验(错误,偏难),55,0.226464,31,251.777778,4.811520,2.197462
ctx+LLM先验(错误,偏难),56,0.237797,33,250.888889,4.610438,2.394972
ctx+LLM先验(错误,偏难),57,0.233624,34,249.555556,4.452875,2.562814
ctx+LLM先验(错误,偏难),58,0.249349,40,246.222222,4.100672,2.886275
ctx+LLM先验(错误,偏难),59,0.246047,34,252.666667,4.579922,2.417420
matched(模型已知,用m̂),0,0.210179,16,290.000000,7.023408,-0.009936
matched(模型已知,用m̂),1,0.210790,17,290.666667,6.890283,0.126694
matched(模型已知,用m̂),2,0.213916,18,289.777778,7.100683,-0.084253
matched(模型已知,用m̂),3,0.217228,16,292.222222,6.968885,0.049903
matched(模型已知,用m̂),4,0.215758,14,293.777778,7.082716,-0.066939
matched(模型已知,用m̂),5,0.214342,17,289.777778,7.249190,-0.247632
matched(模型已知,用m̂),6,0.206922,17,287.555556,6.852261,0.146157
matched(模型已知,用m̂),7,0.214194,14,293.777778,7.416685,-0.399917
matched(模型已知,用m̂),8,0.214021,17,291.555556,7.019728,-0.004010
matched(模型已知,用m̂),9,0.211834,16,291.333333,6.947424,0.063690
matched(模型已知,用m̂),10,0.215990,17,289.555556,7.148702,-0.157702
matched(模型已知,用m̂),11,0.219401,17,290.666667,7.385701,-0.375696
matched(模型已知,用m̂),12,0.213160,18,287.777778,7.241585,-0.253183
matched(模型已知,用m̂),13,0.215112,17,290.444444,7.142484,-0.132273
matched(模型已知,用m̂),14,0.214245,16,290.444444,7.361211,-0.363940
matched(模型已知,用m̂),15,0.215974,17,290.888889,6.903204,0.109560
matched(模型已知,用m̂),16,0.207646,18,287.111111,6.864399,0.132878
matched(模型已知,用m̂),17,0.211163,16,290.888889,7.012235,0.000456
matched(模型已知,用m̂),18,0.215196,17,291.111111,6.883218,0.123473
matched(模型已知,用m̂),19,0.213090,18,289.111111,7.080179,-0.059720
matched(模型已知,用m̂),20,0.216067,17,289.111111,7.158308,-0.167871
matched(模型已知,用m̂),21,0.216617,19,288.000000,6.999338,0.000042
matched(模型已知,用m̂),22,0.215510,18,290.666667,6.823596,0.194238
matched(模型已知,用m̂),23,0.212586,16,291.111111,6.970328,0.044037
matched(模型已知,用m̂),24,0.214324,15,290.666667,7.324997,-0.334394
